ID,Context,FixFreq,BlockFreq
386,( None|MethodInvocation|None|Assignment|None ),115,1242
387,( None|IfStatement|WhileStatement|None|ReturnStatement ),3,5
388,( None|WhileStatement|ReturnStatement|IfStatement|None ),10,18
389,( ReturnStatement|WhileStatement|None|IfStatement|None ),9,18
390,( IfStatement|None|WhileStatement|None|ReturnStatement ),1,5
391,( None|None|IfStatement|None|WhileStatement ),1,14
392,( WhileStatement|IfStatement|ReturnStatement|None|None ),2,5
393,( Assignment|Assignment|VariableDeclarationStatement|MethodInvocation|MethodInvocation ),1,8
394,( MethodInvocation|None|Assignment|None|Assignment ),28,91
395,( Assignment|MethodInvocation|Assignment|None|VariableDeclarationStatement ),0,2
396,( None|MethodInvocation|Assignment|None|Assignment ),6,91
397,( None|Assignment|Assignment|MethodInvocation|VariableDeclarationStatement ),0,30
398,( VariableDeclarationStatement|Assignment|MethodInvocation|Assignment|None ),2,3
399,( MethodInvocation|VariableDeclarationStatement|None|Assignment|None ),12,29
400,( None|VariableDeclarationStatement|MethodInvocation|Assignment|None ),0,29
401,( None|MethodInvocation|None|VariableDeclarationStatement|None ),189,1646
402,( IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|None|WhileStatement ),2,10
403,( VariableDeclarationStatement|IfStatement|WhileStatement|VariableDeclarationStatement|ReturnStatement ),9,11
404,( WhileStatement|VariableDeclarationStatement|ReturnStatement|IfStatement|None ),6,25
405,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|None|ReturnStatement ),272,342
406,( IfStatement|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),237,618
407,( VariableDeclarationStatement|VariableDeclarationStatement|ForStatement|None|ReturnStatement ),73,115
408,( ForStatement|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),256,268
409,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|IfStatement|ReturnStatement ),82,104
410,( SuperConstructorInvocation|None|IfStatement|None|Assignment ),37,55
411,( MethodInvocation|Assignment|IfStatement|None|None ),14,20
412,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|ForStatement ),198,274
413,( None|IfStatement|VariableDeclarationStatement|VariableDeclarationStatement|WhileStatement ),4,35
414,( None|VariableDeclarationStatement|WhileStatement|IfStatement|ReturnStatement ),0,25
415,( Assignment|None|MethodInvocation|None|IfStatement ),17,47
416,( None|None|Assignment|None|MethodInvocation ),60,972
417,( None|Assignment|MethodInvocation|None|IfStatement ),6,47
418,( IfStatement|MethodInvocation|None|Assignment|None ),13,65
419,( None|MethodInvocation|IfStatement|Assignment|None ),4,65
420,( None|IfStatement|None|MethodInvocation|None ),120,1083
421,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None|IfStatement ),49,160
422,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|IfStatement ),29,1093
423,( None|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|ReturnStatement ),117,618
424,( IfStatement|SuperConstructorInvocation|Assignment|None|None ),0,2
425,( None|SuperConstructorInvocation|IfStatement|None|Assignment ),0,55
426,( Assignment|IfStatement|None|SuperConstructorInvocation|None ),1,2
427,( None|IfStatement|Assignment|SuperConstructorInvocation|None ),1,2
428,( None|Assignment|None|IfStatement|None ),70,697
429,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|ForStatement ),51,274
430,( None|VariableDeclarationStatement|ForStatement|VariableDeclarationStatement|ReturnStatement ),37,268
431,( MethodInvocation|ConstructorInvocation|None|None|None ),2,5
432,( ConstructorInvocation|None|MethodInvocation|None|None ),3,5
433,( None|None|ConstructorInvocation|None|MethodInvocation ),0,22
434,( None|ConstructorInvocation|MethodInvocation|None|None ),0,5
435,( None|MethodInvocation|None|ConstructorInvocation|None ),1,5
436,( IfStatement|VariableDeclarationStatement|SuperMethodInvocation|VariableDeclarationStatement|MethodInvocation ),4,2
437,( None|IfStatement|SuperMethodInvocation|VariableDeclarationStatement|MethodInvocation ),2,5
438,( SuperMethodInvocation|IfStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),1,1
439,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|None|SuperMethodInvocation ),2,4
440,( None|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|SuperMethodInvocation ),0,6
441,( MethodInvocation|SuperMethodInvocation|ReturnStatement|IfStatement|None ),0,1
442,( None|SuperMethodInvocation|MethodInvocation|IfStatement|ReturnStatement ),0,1
443,( ReturnStatement|MethodInvocation|None|SuperMethodInvocation|None ),0,2
444,( None|MethodInvocation|ReturnStatement|SuperMethodInvocation|None ),0,2
445,( None|VariableDeclarationStatement|MethodInvocation|None|None ),142,713
446,( MethodInvocation|VariableDeclarationStatement|None|None|None ),527,719
447,( VariableDeclarationStatement|None|MethodInvocation|None|None ),428,713
448,( SuperMethodInvocation|VariableDeclarationStatement|None|None|None ),3,3
449,( None|VariableDeclarationStatement|SuperMethodInvocation|None|None ),3,3
450,( VariableDeclarationStatement|None|SuperMethodInvocation|None|None ),0,3
451,( None|None|VariableDeclarationStatement|None|SuperMethodInvocation ),0,11
452,( None|SuperMethodInvocation|None|VariableDeclarationStatement|None ),0,4
453,( None|IfStatement|VariableDeclarationStatement|IfStatement|ForStatement ),9,96
454,( IfStatement|SuperConstructorInvocation|IfStatement|None|VariableDeclarationStatement ),0,1
455,( IfStatement|IfStatement|VariableDeclarationStatement|SuperConstructorInvocation|ForStatement ),0,1
456,( None|IfStatement|IfStatement|SuperConstructorInvocation|VariableDeclarationStatement ),0,1
457,( VariableDeclarationStatement|IfStatement|ForStatement|IfStatement|Assignment ),2,5
458,( ForStatement|VariableDeclarationStatement|Assignment|IfStatement|None ),0,3
459,( None|VariableDeclarationStatement|ForStatement|IfStatement|Assignment ),1,20
460,( Assignment|ForStatement|None|VariableDeclarationStatement|None ),51,111
461,( None|ForStatement|Assignment|VariableDeclarationStatement|None ),4,111
462,( None|Assignment|None|ForStatement|None ),11,176
463,( None|MethodInvocation|ForStatement|MethodInvocation|None ),3,17
464,( None|VariableDeclarationStatement|Assignment|MethodInvocation|ForStatement ),1,3
465,( Assignment|VariableDeclarationStatement|ForStatement|MethodInvocation|Assignment ),1,1
466,( MethodInvocation|None|MethodInvocation|None|ForStatement ),1,5
467,( MethodInvocation|MethodInvocation|ForStatement|None|None ),2,3
468,( None|MethodInvocation|MethodInvocation|None|ForStatement ),1,5
469,( ForStatement|MethodInvocation|None|MethodInvocation|None ),23,17
470,( None|ForStatement|None|MethodInvocation|None ),15,76
471,( MethodInvocation|None|VariableDeclarationStatement|None|Assignment ),27,51
472,( None|None|MethodInvocation|None|VariableDeclarationStatement ),59,1130
473,( VariableDeclarationStatement|MethodInvocation|Assignment|None|ForStatement ),0,2
474,( None|MethodInvocation|VariableDeclarationStatement|None|Assignment ),0,51
475,( ForStatement|Assignment|Assignment|VariableDeclarationStatement|Assignment ),3,4
476,( None|Assignment|ForStatement|VariableDeclarationStatement|Assignment ),1,19
477,( Assignment|ForStatement|Assignment|Assignment|None ),5,4
478,( None|ForStatement|Assignment|Assignment|Assignment ),1,19
479,( Assignment|Assignment|None|ForStatement|None ),12,21
480,( None|Assignment|Assignment|ForStatement|None ),2,21
481,( MethodInvocation|IfStatement|None|None|None ),293,423
482,( MethodInvocation|MethodInvocation|None|MethodInvocation|None ),554,1814
483,( MethodInvocation|ForStatement|None|None|None ),7,17
484,( MethodInvocation|MethodInvocation|ReturnStatement|VariableDeclarationStatement|None ),156,370
485,( MethodInvocation|VariableDeclarationStatement|ReturnStatement|VariableDeclarationStatement|None ),87,239
486,( None|IfStatement|MethodInvocation|None|None ),61,423
487,( None|MethodInvocation|MethodInvocation|MethodInvocation|None ),154,1813
488,( None|ForStatement|MethodInvocation|None|None ),5,17
489,( None|MethodInvocation|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),34,370
490,( None|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|ReturnStatement ),47,239
491,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|None|ReturnStatement ),39,98
492,( IfStatement|None|MethodInvocation|None|None ),256,423
493,( None|MethodInvocation|None|IfStatement|None ),184,1992
494,( ForStatement|None|MethodInvocation|None|None ),17,17
495,( None|None|ForStatement|None|MethodInvocation ),5,25
496,( None|MethodInvocation|None|ForStatement|None ),13,199
497,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|None|MethodInvocation ),280,579
498,( MethodInvocation|MethodInvocation|MethodInvocation|VariableDeclarationStatement|None ),108,375
499,( None|MethodInvocation|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),117,2264
500,( VariableDeclarationStatement|None|VariableDeclarationStatement|None|MethodInvocation ),357,1197
501,( VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|None|ReturnStatement ),69,79
502,( None|VariableDeclarationStatement|VariableDeclarationStatement|None|MethodInvocation ),141,1192
503,( VariableDeclarationStatement|None|Assignment|None|Assignment ),79,207
504,( Assignment|VariableDeclarationStatement|Assignment|None|Assignment ),27,99
505,( None|VariableDeclarationStatement|Assignment|None|Assignment ),9,202
506,( Assignment|Assignment|Assignment|VariableDeclarationStatement|Assignment ),49,210
507,( None|Assignment|Assignment|VariableDeclarationStatement|Assignment ),33,354
508,( Assignment|Assignment|Assignment|Assignment|Assignment ),431,2363
509,( Assignment|Assignment|Assignment|Assignment|ReturnStatement ),12,38
510,( Assignment|Assignment|ReturnStatement|Assignment|None ),16,58
511,( None|Assignment|Assignment|Assignment|ReturnStatement ),5,58
512,( ReturnStatement|Assignment|None|Assignment|None ),25,145
513,( None|Assignment|ReturnStatement|Assignment|None ),32,145
514,( None|ReturnStatement|None|Assignment|None ),53,605
515,( IfStatement|VariableDeclarationStatement|ReturnStatement|Assignment|None ),14,19
516,( IfStatement|Assignment|None|Assignment|None ),63,187
517,( None|IfStatement|VariableDeclarationStatement|None|IfStatement ),108,653
518,( Assignment|Assignment|IfStatement|None|None ),15,31
519,( VariableDeclarationStatement|Assignment|IfStatement|None|ReturnStatement ),4,10
520,( IfStatement|None|VariableDeclarationStatement|None|IfStatement ),156,653
521,( VariableDeclarationStatement|IfStatement|IfStatement|None|None ),49,99
522,( IfStatement|VariableDeclarationStatement|None|IfStatement|None ),168,505
523,( None|VariableDeclarationStatement|IfStatement|IfStatement|None ),53,505
524,( Assignment|None|Assignment|None|IfStatement ),24,98
525,( None|Assignment|Assignment|None|IfStatement ),8,97
526,( None|Assignment|IfStatement|Assignment|None ),29,187
527,( Assignment|None|VariableDeclarationStatement|None|IfStatement ),46,186
528,( None|None|Assignment|None|VariableDeclarationStatement ),23,497
529,( None|Assignment|VariableDeclarationStatement|None|IfStatement ),37,186
530,( None|VariableDeclarationStatement|IfStatement|Assignment|ReturnStatement ),3,19
531,( None|None|WhileStatement|None|None ),19,35
532,( WhileStatement|None|None|None|None ),26,36
533,( None|WhileStatement|None|None|None ),6,35
534,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|None|IfStatement ),124,465
535,( IfStatement|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None ),87,275
536,( None|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|IfStatement ),139,1559
537,( VariableDeclarationStatement|None|Assignment|None|BreakStatement ),1,1
538,( Assignment|VariableDeclarationStatement|BreakStatement|None|None ),1,1
539,( BreakStatement|Assignment|None|VariableDeclarationStatement|None ),1,3
540,( None|BreakStatement|None|Assignment|None ),7,96
541,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|IfStatement|MethodInvocation ),9,59
542,( MethodInvocation|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|IfStatement ),35,113
543,( IfStatement|MethodInvocation|TryStatement|MethodInvocation|ReturnStatement ),2,3
544,( None|VariableDeclarationStatement|Assignment|None|BreakStatement ),0,1
545,( None|Assignment|BreakStatement|VariableDeclarationStatement|None ),0,3
546,( VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|IfStatement|MethodInvocation ),28,135
547,( None|VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|MethodInvocation ),30,379
548,( None|VariableDeclarationStatement|MethodInvocation|VariableDeclarationStatement|MethodInvocation ),153,1604
549,( MethodInvocation|MethodInvocation|IfStatement|VariableDeclarationStatement|TryStatement ),0,2
550,( None|MethodInvocation|MethodInvocation|VariableDeclarationStatement|IfStatement ),12,337
551,( None|MethodInvocation|IfStatement|MethodInvocation|TryStatement ),1,10
552,( TryStatement|IfStatement|ReturnStatement|MethodInvocation|None ),2,6
553,( None|IfStatement|TryStatement|MethodInvocation|ReturnStatement ),6,6
554,( ReturnStatement|TryStatement|None|IfStatement|None ),17,43
555,( None|TryStatement|ReturnStatement|IfStatement|None ),5,43
556,( None|ReturnStatement|None|TryStatement|None ),29,332
557,( IfStatement|VariableDeclarationStatement|None|VariableDeclarationStatement|None ),537,1108
558,( VariableDeclarationStatement|VariableDeclarationStatement|IfStatement|None|None ),377,653
559,( None|VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|None ),103,1108
560,( VariableDeclarationStatement|MethodInvocation|MethodInvocation|MethodInvocation|VariableDeclarationStatement ),18,136
561,( MethodInvocation|None|MethodInvocation|None|VariableDeclarationStatement ),91,259
562,( MethodInvocation|MethodInvocation|VariableDeclarationStatement|None|MethodInvocation ),30,91
563,( None|MethodInvocation|MethodInvocation|None|VariableDeclarationStatement ),28,259
564,( None|MethodInvocation|VariableDeclarationStatement|MethodInvocation|MethodInvocation ),49,823
565,( MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|MethodInvocation|EnhancedForStatement ),5,19
566,( None|VariableDeclarationStatement|MethodInvocation|MethodInvocation|VariableDeclarationStatement ),26,451
567,( VariableDeclarationStatement|MethodInvocation|EnhancedForStatement|VariableDeclarationStatement|ReturnStatement ),0,7
568,( None|MethodInvocation|VariableDeclarationStatement|VariableDeclarationStatement|EnhancedForStatement ),9,73
569,( EnhancedForStatement|VariableDeclarationStatement|ReturnStatement|MethodInvocation|None ),5,23
570,( None|VariableDeclarationStatement|EnhancedForStatement|MethodInvocation|ReturnStatement ),0,23
571,( IfStatement|IfStatement|VariableDeclarationStatement|None|IfStatement ),37,131
572,( VariableDeclarationStatement|IfStatement|VariableDeclarationStatement|IfStatement|ReturnStatement ),5,10
573,( TryStatement|MethodInvocation|None|None|None ),43,120
